#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
24.221679  -6.095219720e-01  -7.925268256e-01   7.228650984e-01   3.486521625e-01   1.071517261e+00  -7.925268256e-01   6.093689388e-01   4.145008731e-01   4.915314926e-01   9.060323658e-01   9.5273151831099068e-01   1.4377388168895777e-13  -7.544908321e-15   3.018983425e-01   4.915314926e-01   7.934298351e-01   2.908784325e-14
24.253095  -6.341110775e-01  -7.729951586e-01   6.988706613e-01   3.430409860e-01   1.041911647e+00  -7.729951586e-01   6.339535320e-01   4.237493247e-01   4.822938255e-01   9.060431502e-01   9.5273151831103331e-01   1.8640644583456378e-13  -5.756030307e-15   3.018983425e-01   4.822938255e-01   7.841921680e-01   4.396483178e-14
24.284511  -6.580746511e-01  -7.527009059e-01   6.751433739e-01   3.379221089e-01   1.013065483e+00  -7.527009059e-01   6.579126678e-01   4.331126478e-01   4.729414675e-01   9.060541154e-01   9.5273151831101921e-01   1.7230661342182430e-13  -5.870315571e-15   3.018983425e-01   4.729414675e-01   7.748398100e-01   5.351274979e-14
24.315927  -6.813890517e-01  -7.316640897e-01   6.517343463e-01   3.332728600e-01   9.850072063e-01  -7.316640897e-01   6.812227114e-01   4.425538934e-01   4.635113267e-01   9.060652201e-01   9.5273151831102798e-01   1.8107737531636303e-13  -7.059838261e-15   3.018983425e-01   4.635113267e-01   7.654096691e-01   7.216449660e-14
24.347343  -7.040312792e-01  -7.099054647e-01   6.286946043e-01   3.290698750e-01   9.577644792e-01  -7.099054647e-01   7.038606691e-01   4.520358065e-01   4.540406153e-01   9.060764218e-01   9.5273151831105862e-01   2.1171953079601735e-13  -6.714252589e-15   3.018983425e-01   4.540406153e-01   7.559389578e-01   2.198241589e-14
24.378759  -7.259789961e-01  -6.874464978e-01   6.060749286e-01   3.252892295e-01   9.313641581e-01  -6.874464978e-01   7.258042102e-01   4.615209738e-01   4.445667034e-01   9.060876772e-01   9.5273151831111635e-01   2.6945112807652549e-13  -6.497011148e-15   3.018983425e-01   4.445667034e-01   7.464650459e-01   7.149836279e-14
24.410175  -7.472105506e-01  -6.643093464e-01   5.839256941e-01   3.219065740e-01   9.058322682e-01  -6.643093464e-01   7.470316893e-01   4.709719712e-01   4.351269707e-01   9.060989420e-01   9.5273151831110381e-01   2.5690560789826122e-13  -6.867101816e-15   3.018983425e-01   4.351269707e-01   7.370253132e-01   4.840572387e-14
24.441591  -7.677049971e-01  -6.405168370e-01   5.622967097e-01   3.188972685e-01   8.811939783e-01  -6.405168370e-01   7.675221677e-01   4.803515114e-01   4.257586597e-01   9.061101711e-01   9.5273151831111769e-01   2.7078339570607568e-13  -6.053846406e-15   3.018983425e-01   4.257586597e-01   7.276570022e-01   6.838973832e-14
24.473007  -7.874421174e-01  -6.160924427e-01   5.412370586e-01   3.162365172e-01   8.574735758e-01  -6.160924427e-01   7.872554341e-01   4.896225910e-01   4.164987283e-01   9.061213193e-01   9.5273151831111869e-01   2.7178259642823832e-13  -6.811443635e-15   3.018983425e-01   4.164987283e-01   7.183970708e-01   9.392486788e-14
24.504423  -8.064024403e-01  -5.910602597e-01   5.207949406e-01   3.138995025e-01   8.346944431e-01  -5.910602597e-01   8.062120242e-01   4.987486364e-01   4.073837044e-01   9.061323407e-01   9.5273151831112046e-01   2.7355895326763857e-13  -6.792213057e-15   3.018983425e-01   4.073837044e-01   7.092820469e-01   5.662137426e-14
